genotype,preference
rice,1.67
rice,1.73
rice,2.66
rice,1.08
rice,0.96
rice,1.13
rice,2.72
rice,1.11
rice,0.62
rice,0.17
rice,2.79
rice,2.36
rice,-0.23
rice,1.98
rice,1.25
rice,1.69
rice,1.83
rice,1.84
rice,2.7
rice,-0.21
rice,0
rice,1.32
rice,0.55
rice,0.61
rice,1.61
rice,1.74
rice,0.36
rice,1.1
rice,1.74
rice,3.01
rice,2.35
rice,2.5
rice,1.62
rice,-0.04
rice,1.01
rice,3.46
rice,1.66
rice,-0.74
rice,1.51
rice,1.33
rice,3.31
rice,2.36
rice,2.26
rice,2.32
rice,0.89
rice,1.73
rice,2.15
rice,2.66
rice,2.02
rice,1.26
rice,3.21
rice,3.17
rice,2.17
rice,1.2
rice,1
br,0.35
br,1.69
br,1.65
br,0.67
br,-0.68
br,1.09
br,0.4
br,-0.05
br,-0.18
br,0.88
br,1.9
br,-0.26
br,1.1
br,-0.08
br,1.7
br,1.98
br,1.7
br,0.36
br,1.46
br,0.66
br,0.54
br,-0.38
br,1.4
br,0.83
br,1.35
br,2.69
br,1.9
br,1.99
br,3.12
br,-0.51
br,0.66
br,1.61
br,2.52
br,1.67
br,-0.72
br,1.6
br,1.51
br,1.74
br,1.55
br,1.98
br,1.93
br,2.51
br,1.14
br,2
br,0.65
br,2.28
br,-0.13
br,-0.51
br,2.51
br,1.59
br,1.6
br,0.74
br,-1.94
br,1.58
br,1.99
br,1.72
br,2.3
br,1.8
br,1.31
br,2.58
br,1.85
br,-0.54
br,0.22
br,2.18
br,0.94
br,2.61
br,3.2
br,0.16
br,2.54
br,0.66
br,1.74
br,0.27
br,0.5
br,1.99
br,0.55
br,0.1
br,-0.49
br,-1.91
br,1.19
br,0.98
br,-0.6
br,0.93
br,2.27
br,2.45
br,1.86
br,1.22
br,2.3
br,2.1
br,2.48
br,1.37
br,0.97
br,-0.25
br,2.4
br,1.13
br,2.13
br,1.2
br,0.78
br,1.65
br,0.06
br,-1.05
br,0.41
br,2.04
br,0.14
br,0.07
br,3.92
br,1.16
br,3.12
br,2.93
br,0.9
br,0.52
br,1.04
br,0.54
br,1.06
br,0.31
br,-0.02
br,0.04
br,0.53
br,1.85
br,2.21
br,-0.4
br,1.16
br,0.69
br,0.15
br,1.79
br,1.61
br,-0.56
br,1.3
br,2.47
br,-1.05
br,1.43
br,0.76
br,2.22
br,2.5
br,1.53
br,2.32
br,1.39
br,1.88
br,0.39
br,2.61
br,1.68
br,1.46
br,2.01
br,1.28
br,0.23
br,2.14
br,1.7
br,3.42
br,0.16
br,-0.28
br,2.73
