species,collection_date,collection_region,collection_location,Sp,ID,IPD_mm,ProxL_micron,ProxW_micron,OralL_micron,OralW_micron,LatL_micron,LatW_micron
Alatina moseri,2003,"Cairns, AUS","Argincort Reef, GBR",1,AM002,ND,551.0131,407.4075,544.7845,529.3469,604.6197,412.0821
Alatina moseri,2003,"Cairns, AUS","Argincort Reef, GBR",1,AM006,ND,535.9557,316.2934,561.2552,487.3496,522.1715,369.8878
Alatina moseri,2003,"Cairns, AUS","Argincort Reef, GBR",1,AM008,ND,615.1771,422.1895,643.9812,574.6703,594.2833,458.0672
Alatina moseri,2003,"Cairns, AUS","Argincort Reef, GBR",1,AM009,ND,555.8832,330.5901,581.4044,496.2788,541.5138,393.2887
Alatina moseri,2003,"Cairns, AUS","Argincort Reef, GBR",1,AM010,ND,608.4662,355.3876,652.6944,553.2419,607.7093,420.5406
Alatina moseri,2003,"Cairns, AUS","Argincort Reef, GBR",1,AM011,ND,568.4161,388.7597,564.9326,573.1034,592.7279,417.588
Alatina moseri,2007-03-15,"Cairns, AUS","Steve's Bombie, GBR",1,SB028,ND,569.3146,348.6023,572.7677,484.0303,603.0284,382.5938
Alatina moseri,2007-03-15,"Cairns, AUS","Steve's Bombie, GBR",1,SB039,ND,609.2975,400.5484,621.461,661.1582,671.9371,445.4041
Alatina moseri,2007-03-15,"Cairns, AUS","Steve's Bombie, GBR",1,SB042,ND,597.3335,352.6686,589.729,608.7462,632.3662,388.7233
Alatina moseri,2007-03-15,"Cairns, AUS","Steve's Bombie, GBR",1,SB055,ND,566.3425,348.893,564.7672,471.303,523.8994,398.1539
Alatina moseri,2007-03-15,"Cairns, AUS","Steve's Bombie, GBR",1,SB059,ND,611.2117,375.5387,596.1865,555.812,564.5546,430.0182
Alatina moseri,2007-03-15,"Cairns, AUS","Steve's Bombie, GBR",1,SB070,ND,555.7137,324.575,567.8346,501.7331,551.6755,337.248
Carukia barnesi,2003-12-27,"Cairns, AUS","Palm Cove, QLD",2,PC100,ND,177.2945,129.3009,173.712,165.8626,164.1744,137.7345
Carukia barnesi,2003-12-27,"Cairns, AUS","Palm Cove, QLD",2,PC101,ND,166.5112,104.0325,171.5126,153.4496,150.9114,126.956
Carukia barnesi,2003-12-27,"Cairns, AUS","Palm Cove, QLD",2,PC102,ND,272.8794,230.903,278.0903,263.6085,278.5309,223.1037
Carukia barnesi,2003-12-27,"Cairns, AUS","Palm Cove, QLD",2,PC103,ND,307.2414,215.5603,313.4812,285.7203,304.2888,235.6256
Carukia barnesi,2003-12-27,"Cairns, AUS","Palm Cove, QLD",2,PC104,ND,263.3423,160.4577,263.1313,228.7584,235.5371,171.2651
Carukia barnesi,2003-12-27,"Cairns, AUS","Palm Cove, QLD",2,PC105,ND,192.3876,134.8381,193.331,180.695,186.9171,131.2873
