radius,no_cells,week
13.71572611,27,Week 1
21.69013628,69,Week 1
22.48987348,102,Week 1
22.58168368,88,Week 1
25.35716802,124,Week 1
26.38453564,175,Week 1
27.31516746,164,Week 1
27.9658254,147,Week 1
29.34870614,201,Week 1
29.80074802,195,Week 1
32.10927781,251,Week 1
33.38744107,255,Week 1
34.04359405,338,Week 1
34.07630357,302,Week 1
34.08564338,261,Week 1
34.75609325,295,Week 1
35.2787706,418,Week 1
35.28779215,300,Week 1
35.89593876,338,Week 1
37.59382788,434,Week 1
38.24855863,477,Week 1
20.70660321,32,Week 8
28.45104639,85,Week 8
28.92812975,87,Week 8
29.52711937,77,Week 8
29.76868696,68,Week 8
30.177551,115,Week 8
31.30616776,138,Week 8
31.41274657,119,Week 8
32.14890668,89,Week 8
33.54912454,145,Week 8
33.78548878,119,Week 8
34.07630357,148,Week 8
34.16958681,136,Week 8
34.45716,134,Week 8
34.96610177,168,Week 8
37.04367583,154,Week 8
39.09227243,211,Week 8
40.35434769,211,Week 8
40.72729818,191,Week 8
40.83267299,221,Week 8
41.98192277,257,Week 8
42.2426943,242,Week 8
42.42690663,230,Week 8
43.37660357,250,Week 8
46.66090035,250,Week 8
47.15288491,346,Week 8
